user_id,topic_id,topic,subject,quiz_accuracy,avg_time_per_question,total_attempts,question_difficulty,videos_watched,articles_read,chatbot_questions,study_duration,daily_streak,ewma_accuracy,prerequisite_mastery,previous_attempt_accuracy,label
U1070,16,Threads,Operating Systems,42.7,42.0,3,Medium,1,0,1,34.5,5,45.5,61.5,35.1,Moderate
U1144,5,Trees,Data Structures & Algorithms,55.1,52.7,1,Easy,1,2,2,31.4,6,44.4,53.9,44.6,Moderate
U1423,25,Objects,Object Oriented Programming,20.0,67.3,1,Medium,2,0,4,10.8,4,30.2,50.5,30.2,Weak
U1064,19,Memory Management,Operating Systems,2.0,79.8,4,Hard,1,0,0,28.1,3,5.0,30.6,6.8,Weak
U1536,22,DNS,Computer Networks,48.7,52.5,1,Medium,2,0,3,29.0,6,74.7,62.6,48.7,Moderate
U1335,24,Classes,Object Oriented Programming,2.0,84.3,2,Hard,2,3,3,64.3,11,6.4,42.7,9.8,Weak
U1410,24,Classes,Object Oriented Programming,50.1,40.3,1,Easy,3,1,0,35.4,4,48.5,74.6,62.0,Moderate
U1108,27,Polymorphism,Object Oriented Programming,11.2,87.7,7,Medium,8,1,6,52.8,8,17.8,35.1,16.3,Weak
U1040,7,Sorting,Data Structures & Algorithms,10.3,58.5,6,Medium,0,3,1,64.5,5,17.2,39.7,24.6,Weak
U1012,24,Classes,Object Oriented Programming,82.6,52.8,1,Medium,1,1,0,24.3,2,56.0,71.0,58.7,Strong
U1539,6,Graphs,Data Structures & Algorithms,42.7,44.6,6,Medium,2,2,2,51.4,5,33.7,61.7,22.5,Weak
U1148,16,Threads,Operating Systems,2.0,89.9,1,Hard,4,1,3,24.3,2,1.9,27.2,2.0,Weak
U1384,26,Inheritance,Object Oriented Programming,47.1,63.3,4,Hard,5,2,2,47.0,6,71.1,65.7,73.5,Moderate
U1041,14,DBMS Indexes,Database Management Systems,51.0,55.1,2,Easy,0,0,2,25.6,3,36.1,59.0,11.1,Moderate
U1528,27,Polymorphism,Object Oriented Programming,18.8,85.5,1,Medium,1,1,3,53.9,7,27.6,31.5,34.3,Weak
U1261,24,Classes,Object Oriented Programming,76.0,36.3,2,Medium,1,2,2,60.5,8,74.6,77.8,70.6,Strong
U1024,25,Objects,Object Oriented Programming,67.2,37.8,3,Easy,1,0,1,25.9,7,65.9,80.0,60.0,Strong
U1252,16,Threads,Operating Systems,99.0,53.2,1,Easy,2,0,0,35.1,6,87.3,80.6,82.4,Strong
U1557,24,Classes,Object Oriented Programming,2.0,79.0,3,Hard,1,0,0,30.2,2,10.3,32.8,2.0,Weak
U1550,3,Stacks,Data Structures & Algorithms,74.2,38.6,1,Easy,1,2,1,19.7,5,68.7,82.7,72.8,Strong
U1257,24,Classes,Object Oriented Programming,44.3,44.6,2,Easy,3,2,1,57.0,7,52.8,63.1,63.0,Moderate
U1596,2,Linked Lists,Data Structures & Algorithms,40.4,71.4,4,Medium,3,1,1,49.4,8,35.7,53.9,35.3,Weak
U1020,6,Graphs,Data Structures & Algorithms,31.5,58.8,1,Medium,3,0,2,34.0,4,35.6,65.4,33.7,Weak
U1081,15,Processes,Operating Systems,48.7,28.4,1,Easy,2,2,1,16.4,6,41.8,52.1,26.4,Moderate
U1199,24,Classes,Object Oriented Programming,62.8,38.8,2,Medium,2,0,0,46.4,1,67.6,77.8,68.7,Strong
U1070,2,Linked Lists,Data Structures & Algorithms,35.1,55.7,2,Medium,0,2,1,12.1,3,46.7,64.0,35.1,Weak
U1506,6,Graphs,Data Structures & Algorithms,78.2,36.0,5,Hard,1,1,0,46.2,6,81.5,100.0,68.7,Strong
U1160,22,DNS,Computer Networks,36.0,57.6,4,Easy,4,0,5,41.0,4,42.2,41.5,27.3,Weak
U1258,8,Searching,Data Structures & Algorithms,51.2,66.2,4,Hard,1,1,1,33.1,3,55.4,63.8,61.9,Moderate
U1183,2,Linked Lists,Data Structures & Algorithms,49.4,55.9,2,Hard,3,1,1,31.6,12,59.8,77.0,49.4,Moderate
U1531,12,Normalization,Database Management Systems,69.1,44.2,2,Easy,0,0,0,28.7,3,67.2,61.7,67.2,Strong
U1147,23,Routing,Computer Networks,22.4,45.5,1,Medium,4,2,1,37.5,11,28.0,36.4,23.0,Weak
U1168,8,Searching,Data Structures & Algorithms,2.9,89.6,2,Hard,5,1,6,65.2,7,15.3,35.0,2.9,Weak
U1133,18,Deadlocks,Operating Systems,14.9,62.5,4,Easy,1,2,3,38.6,9,19.8,38.8,25.3,Weak
U1283,15,Processes,Operating Systems,18.1,78.3,4,Medium,3,1,1,38.4,2,7.4,27.6,2.0,Weak
U1028,23,Routing,Computer Networks,28.3,64.1,3,Easy,2,0,1,50.4,8,43.5,46.9,49.2,Weak
U1253,7,Sorting,Data Structures & Algorithms,50.5,37.3,1,Easy,2,2,0,62.4,3,51.6,68.1,48.0,Moderate
U1064,7,Sorting,Data Structures & Algorithms,2.0,88.1,5,Hard,1,2,2,38.8,1,7.9,31.9,2.0,Weak
U1309,23,Routing,Computer Networks,2.0,89.4,3,Medium,2,1,2,7.3,4,2.0,4.3,2.9,Weak
U1248,11,SQL,Database Management Systems,30.5,62.0,2,Easy,0,0,1,22.1,6,33.0,40.5,25.1,Weak
U1388,13,Transactions,Database Management Systems,65.0,68.0,4,Medium,0,2,0,24.3,3,65.1,57.8,61.8,Moderate
U1590,23,Routing,Computer Networks,2.0,94.8,2,Hard,0,1,1,45.7,5,8.6,13.7,2.0,Weak
U1279,15,Processes,Operating Systems,46.6,71.9,3,Hard,1,0,1,32.1,2,50.9,76.1,46.6,Moderate
U1372,10,ER Model,Database Management Systems,30.9,50.2,5,Easy,1,1,3,59.4,3,28.3,53.0,27.6,Weak
U1307,24,Classes,Object Oriented Programming,43.4,46.8,1,Easy,2,2,5,45.4,2,32.7,53.7,26.4,Weak
U1178,2,Linked Lists,Data Structures & Algorithms,89.9,27.5,2,Easy,1,2,0,33.7,4,85.7,97.7,74.9,Strong
U1206,9,Recursion,Data Structures & Algorithms,2.0,64.6,4,Medium,4,1,1,51.1,0,5.5,21.7,11.4,Weak
U1294,22,DNS,Computer Networks,2.0,94.1,2,Hard,0,1,0,23.4,1,13.5,7.8,13.1,Weak
U1564,3,Stacks,Data Structures & Algorithms,38.5,40.0,2,Easy,0,0,0,42.5,5,63.0,70.8,81.7,Moderate
U1032,6,Graphs,Data Structures & Algorithms,20.7,63.2,3,Hard,2,0,1,42.0,4,34.1,60.0,38.6,Weak
U1291,22,DNS,Computer Networks,43.2,69.0,1,Easy,0,3,0,42.8,3,45.4,34.4,43.2,Weak
U1255,21,TCP/IP,Computer Networks,2.0,52.4,5,Easy,2,2,1,21.0,10,16.0,31.0,19.1,Weak
U1151,7,Sorting,Data Structures & Algorithms,21.3,83.9,1,Medium,2,1,3,49.7,7,15.2,17.6,7.8,Weak
U1209,15,Processes,Operating Systems,36.0,40.7,3,Easy,0,2,3,35.4,6,33.9,51.2,32.4,Weak
U1254,2,Linked Lists,Data Structures & Algorithms,32.7,47.1,6,Medium,3,1,1,37.5,9,42.2,70.5,32.7,Weak
U1299,20,OSI Model,Computer Networks,2.0,57.5,5,Easy,1,2,6,50.9,8,5.3,30.1,13.9,Weak
U1020,4,Queues,Data Structures & Algorithms,37.7,74.7,3,Medium,1,0,1,33.1,4,36.3,57.9,31.5,Weak
U1011,26,Inheritance,Object Oriented Programming,70.5,37.3,1,Easy,0,2,1,40.6,6,77.7,66.9,78.7,Strong
U1103,21,TCP/IP,Computer Networks,53.3,47.7,4,Easy,2,1,1,29.1,5,45.2,43.8,21.6,Moderate
U1411,13,Transactions,Database Management Systems,64.6,55.3,2,Medium,3,0,3,43.9,4,73.8,66.2,81.0,Moderate
U1197,26,Inheritance,Object Oriented Programming,62.4,61.8,3,Medium,0,2,0,32.7,6,65.9,63.3,65.1,Moderate
U1317,1,Arrays,Data Structures & Algorithms,2.0,71.7,4,Medium,3,2,9,59.2,6,4.1,31.2,2.0,Weak
U1209,1,Arrays,Data Structures & Algorithms,22.9,63.1,1,Easy,0,0,2,55.5,5,36.1,52.1,32.9,Weak
U1581,22,DNS,Computer Networks,57.2,45.0,2,Easy,1,1,0,30.4,6,70.8,58.3,71.1,Moderate
U1476,14,DBMS Indexes,Database Management Systems,4.6,62.3,2,Medium,0,3,0,47.4,6,20.1,49.0,4.6,Weak
U1422,10,ER Model,Database Management Systems,2.0,92.2,2,Medium,2,1,1,19.5,6,7.6,31.8,11.2,Weak
U1556,19,Memory Management,Operating Systems,2.6,65.3,3,Easy,0,1,1,36.8,3,6.3,33.3,2.0,Weak
U1129,7,Sorting,Data Structures & Algorithms,27.1,77.6,1,Medium,1,1,4,36.5,4,35.6,41.7,34.0,Weak
U1285,4,Queues,Data Structures & Algorithms,19.2,52.2,3,Easy,1,2,2,40.2,5,23.8,39.0,24.4,Weak
U1041,21,TCP/IP,Computer Networks,34.6,62.0,4,Hard,1,0,3,62.4,3,35.6,45.4,19.9,Weak
U1294,6,Graphs,Data Structures & Algorithms,31.7,57.6,4,Easy,0,1,1,29.8,5,16.1,46.3,3.0,Weak
U1083,14,DBMS Indexes,Database Management Systems,13.6,66.2,1,Hard,3,2,1,45.9,6,9.9,39.6,2.0,Weak
U1025,9,Recursion,Data Structures & Algorithms,80.4,18.3,3,Easy,1,0,0,34.3,3,80.2,76.8,80.4,Strong
U1477,3,Stacks,Data Structures & Algorithms,42.3,55.9,2,Medium,3,1,2,66.0,4,47.3,65.4,31.1,Moderate
U1521,1,Arrays,Data Structures & Algorithms,40.7,51.8,2,Medium,0,1,3,35.7,7,37.1,51.6,38.8,Weak
U1570,17,Scheduling,Operating Systems,60.6,48.8,2,Medium,1,4,2,2.0,4,62.5,72.1,61.3,Moderate
U1376,8,Searching,Data Structures & Algorithms,77.1,55.4,1,Hard,2,1,1,46.9,3,73.6,69.0,53.6,Strong
U1565,5,Trees,Data Structures & Algorithms,48.5,57.0,1,Easy,4,4,1,42.2,9,40.1,52.8,17.4,Moderate
U1182,1,Arrays,Data Structures & Algorithms,28.7,77.6,5,Hard,3,1,0,45.8,4,48.6,58.3,28.7,Weak
U1341,14,DBMS Indexes,Database Management Systems,61.6,59.6,1,Easy,2,1,1,34.6,5,56.3,62.6,57.6,Moderate
U1109,25,Objects,Object Oriented Programming,31.7,43.1,2,Easy,3,1,1,37.7,4,21.7,48.3,2.0,Weak
U1434,15,Processes,Operating Systems,60.1,52.6,3,Hard,2,2,0,15.5,1,62.4,68.2,60.1,Moderate
U1078,26,Inheritance,Object Oriented Programming,37.3,77.5,3,Medium,2,1,0,46.1,7,38.9,38.6,37.3,Weak
U1559,4,Queues,Data Structures & Algorithms,70.2,40.0,1,Medium,3,0,1,27.5,6,71.3,85.0,77.2,Strong
U1196,25,Objects,Object Oriented Programming,71.4,50.1,2,Hard,2,1,0,43.3,9,79.9,77.7,82.3,Strong
U1021,20,OSI Model,Computer Networks,30.7,60.7,1,Medium,0,1,3,31.4,7,51.1,64.2,68.5,Weak
U1354,15,Processes,Operating Systems,2.0,61.4,3,Medium,0,1,2,24.6,2,9.9,25.7,2.0,Weak
U1134,8,Searching,Data Structures & Algorithms,87.0,51.9,2,Easy,0,2,1,14.2,3,83.7,81.6,84.4,Strong
U1083,22,DNS,Computer Networks,2.0,102.1,5,Medium,1,1,0,30.9,2,6.7,13.6,11.7,Weak
U1411,17,Scheduling,Operating Systems,82.8,34.3,1,Hard,5,0,1,54.1,5,85.4,97.1,82.8,Strong
U1393,7,Sorting,Data Structures & Algorithms,55.4,54.7,3,Easy,2,3,0,20.6,9,37.2,41.2,21.7,Weak
U1015,1,Arrays,Data Structures & Algorithms,31.1,56.1,6,Medium,1,0,3,32.0,5,30.2,53.9,33.0,Weak
U1042,1,Arrays,Data Structures & Algorithms,2.0,102.4,5,Hard,2,1,5,49.8,3,3.8,28.4,8.5,Weak
U1216,5,Trees,Data Structures & Algorithms,9.7,63.5,6,Medium,3,3,6,32.3,5,15.2,41.0,8.6,Weak
U1353,20,OSI Model,Computer Networks,2.0,64.5,4,Easy,3,1,5,30.9,4,6.8,24.3,2.0,Weak
U1153,6,Graphs,Data Structures & Algorithms,39.5,47.7,2,Medium,3,1,1,30.0,6,41.0,55.5,45.3,Weak
U1347,21,TCP/IP,Computer Networks,14.3,76.8,4,Medium,4,2,3,44.4,8,15.0,42.6,18.1,Weak
U1235,1,Arrays,Data Structures & Algorithms,98.1,35.7,1,Easy,1,2,0,49.1,6,85.2,87.4,75.6,Strong
U1523,11,SQL,Database Management Systems,72.7,51.5,2,Easy,2,0,1,31.0,1,79.0,74.2,78.4,Strong
U1036,26,Inheritance,Object Oriented Programming,52.2,48.4,1,Easy,3,1,2,34.6,7,41.3,56.9,32.6,Moderate
U1110,1,Arrays,Data Structures & Algorithms,18.0,65.1,2,Hard,1,2,2,36.4,6,34.2,51.8,18.0,Weak
U1279,3,Stacks,Data Structures & Algorithms,34.2,74.7,2,Hard,1,0,1,19.7,3,39.8,65.1,39.5,Weak
U1159,24,Classes,Object Oriented Programming,70.2,56.5,2,Medium,4,1,0,36.4,6,66.0,87.5,66.0,Strong
U1516,2,Linked Lists,Data Structures & Algorithms,58.9,27.1,2,Easy,4,0,2,41.4,6,60.7,69.0,58.9,Moderate
U1504,15,Processes,Operating Systems,48.9,38.7,2,Easy,2,0,0,8.1,5,42.6,44.5,48.9,Moderate
U1402,19,Memory Management,Operating Systems,38.2,33.3,4,Easy,1,0,1,69.5,5,41.1,60.6,39.1,Moderate
U1302,26,Inheritance,Object Oriented Programming,47.0,52.1,5,Hard,5,4,3,64.9,15,67.1,57.8,85.1,Moderate
U1146,23,Routing,Computer Networks,26.6,75.9,1,Easy,2,0,2,26.6,3,19.7,30.7,6.1,Weak
U1165,14,DBMS Indexes,Database Management Systems,82.6,40.0,1,Easy,1,4,1,52.1,6,72.7,67.4,82.6,Strong
U1070,27,Polymorphism,Object Oriented Programming,50.9,67.2,3,Medium,0,1,1,42.2,1,42.6,45.8,33.5,Weak
U1040,9,Recursion,Data Structures & Algorithms,2.0,66.4,2,Easy,1,0,5,30.5,7,9.5,34.9,2.0,Weak
U1370,14,DBMS Indexes,Database Management Systems,25.6,48.9,4,Easy,1,2,1,43.3,6,22.6,46.0,24.5,Weak
U1062,5,Trees,Data Structures & Algorithms,82.3,43.3,1,Easy,3,0,1,46.1,3,72.7,79.2,63.5,Strong
U1245,25,Objects,Object Oriented Programming,73.4,40.9,3,Medium,3,0,0,42.5,6,83.8,85.4,73.4,Strong
U1360,12,Normalization,Database Management Systems,19.9,53.4,2,Easy,2,1,2,33.9,6,29.5,46.3,36.2,Weak
U1549,18,Deadlocks,Operating Systems,82.8,35.3,4,Medium,3,1,1,28.7,2,78.7,79.2,79.1,Strong
U1509,7,Sorting,Data Structures & Algorithms,65.2,44.8,1,Medium,2,1,1,35.5,2,75.9,76.8,82.8,Strong
U1522,17,Scheduling,Operating Systems,18.3,64.2,1,Medium,6,3,5,61.9,6,24.7,51.5,21.2,Weak
U1023,23,Routing,Computer Networks,21.8,83.8,2,Medium,3,0,2,37.5,5,19.5,19.2,17.5,Weak
U1192,8,Searching,Data Structures & Algorithms,63.8,42.5,4,Easy,3,1,0,45.4,0,73.3,71.7,83.1,Moderate
U1408,21,TCP/IP,Computer Networks,33.8,68.0,2,Hard,2,1,2,19.0,7,51.0,43.8,53.5,Weak
U1019,12,Normalization,Database Management Systems,52.3,54.2,1,Easy,4,3,0,47.0,4,30.7,42.0,30.0,Weak
U1095,15,Processes,Operating Systems,38.0,63.6,1,Medium,3,4,6,52.1,7,46.0,70.9,41.9,Weak
U1510,22,DNS,Computer Networks,27.6,65.3,6,Easy,3,0,4,30.3,6,41.8,38.6,26.7,Weak
U1313,14,DBMS Indexes,Database Management Systems,77.6,52.6,2,Easy,1,0,0,26.2,6,64.5,57.3,77.6,Strong
U1063,7,Sorting,Data Structures & Algorithms,40.0,63.4,4,Easy,0,0,2,36.2,4,37.9,49.2,46.3,Weak
U1496,16,Threads,Operating Systems,60.5,44.3,1,Easy,0,0,0,48.1,4,65.9,65.6,69.8,Moderate
U1365,4,Queues,Data Structures & Algorithms,2.0,60.7,2,Medium,2,3,1,57.3,6,8.9,35.1,16.0,Weak
U1533,22,DNS,Computer Networks,23.1,71.2,2,Medium,2,6,1,54.6,5,34.1,22.0,38.9,Weak
U1292,15,Processes,Operating Systems,46.9,52.4,3,Medium,0,0,1,58.3,9,50.4,60.4,48.1,Moderate
U1554,23,Routing,Computer Networks,99.0,49.8,1,Medium,1,1,0,20.2,3,92.9,70.4,95.1,Strong
U1152,21,TCP/IP,Computer Networks,20.9,69.0,3,Easy,0,2,3,49.1,4,24.5,23.0,45.6,Weak
U1118,14,DBMS Indexes,Database Management Systems,62.6,38.2,7,Easy,3,1,0,65.9,9,63.4,73.7,77.5,Moderate
U1276,14,DBMS Indexes,Database Management Systems,68.6,61.4,2,Hard,1,1,0,50.6,10,76.2,87.9,80.2,Strong
U1174,21,TCP/IP,Computer Networks,22.9,64.4,2,Medium,2,1,2,49.1,6,33.4,42.8,31.0,Weak
U1481,7,Sorting,Data Structures & Algorithms,61.7,48.8,4,Medium,5,1,1,40.6,8,59.2,68.2,52.5,Moderate
U1574,16,Threads,Operating Systems,72.9,46.1,2,Medium,2,1,1,43.5,5,88.6,93.9,72.9,Strong
U1395,18,Deadlocks,Operating Systems,70.9,50.1,2,Easy,2,1,3,31.6,7,59.7,57.0,55.2,Moderate
U1197,11,SQL,Database Management Systems,65.1,46.8,3,Easy,0,2,5,27.2,5,67.4,57.1,78.6,Moderate
U1352,14,DBMS Indexes,Database Management Systems,46.6,48.4,1,Medium,1,0,0,26.4,2,36.4,62.3,24.4,Moderate
U1194,10,ER Model,Database Management Systems,42.1,58.6,3,Easy,1,1,1,24.1,8,32.5,56.6,24.9,Weak
U1161,20,OSI Model,Computer Networks,47.2,58.5,1,Easy,3,0,1,53.4,4,51.9,58.5,59.9,Moderate
U1578,19,Memory Management,Operating Systems,2.0,60.9,3,Hard,1,2,3,52.9,8,19.4,56.8,34.5,Weak
U1465,3,Stacks,Data Structures & Algorithms,34.5,65.7,4,Hard,2,0,1,41.1,8,36.2,62.3,31.9,Weak
U1356,15,Processes,Operating Systems,16.9,65.5,1,Medium,1,2,4,39.3,5,18.5,32.0,16.9,Weak
U1183,15,Processes,Operating Systems,63.4,31.7,2,Easy,0,0,1,25.9,5,59.2,68.3,52.1,Strong
U1085,22,DNS,Computer Networks,29.8,79.4,3,Medium,3,3,1,63.5,6,39.8,33.0,44.0,Weak
U1366,8,Searching,Data Structures & Algorithms,58.7,39.2,4,Medium,2,1,0,49.2,6,63.9,75.0,46.0,Moderate
U1416,23,Routing,Computer Networks,13.2,58.5,2,Easy,3,0,2,36.4,6,24.1,31.2,11.5,Weak
U1515,11,SQL,Database Management Systems,22.2,64.0,7,Hard,2,2,1,53.6,7,27.4,37.4,28.5,Weak
U1094,27,Polymorphism,Object Oriented Programming,66.8,42.2,1,Medium,0,0,1,20.7,1,83.6,62.6,93.1,Strong
U1169,15,Processes,Operating Systems,47.2,47.5,2,Easy,1,2,1,41.3,6,41.2,62.0,30.7,Moderate
U1272,2,Linked Lists,Data Structures & Algorithms,68.4,52.2,1,Medium,2,1,0,32.8,1,62.4,73.4,68.4,Strong
U1009,7,Sorting,Data Structures & Algorithms,45.3,43.7,1,Medium,0,1,2,24.5,7,50.7,66.1,60.2,Moderate
U1274,7,Sorting,Data Structures & Algorithms,44.0,47.3,7,Easy,2,1,2,45.5,0,47.9,55.6,44.0,Weak
U1477,2,Linked Lists,Data Structures & Algorithms,60.8,47.1,2,Medium,4,3,0,39.8,10,52.7,63.9,53.9,Moderate
U1139,12,Normalization,Database Management Systems,82.9,47.8,4,Easy,3,2,2,37.4,7,76.0,71.3,60.3,Strong
U1207,24,Classes,Object Oriented Programming,38.2,60.0,4,Hard,0,2,1,42.0,7,60.8,74.9,38.2,Weak
U1004,15,Processes,Operating Systems,42.8,64.0,2,Easy,0,2,1,61.4,7,21.3,49.6,2.0,Weak
U1313,26,Inheritance,Object Oriented Programming,49.3,41.7,1,Easy,1,3,1,28.7,3,45.2,51.5,49.5,Moderate
U1096,17,Scheduling,Operating Systems,8.3,56.6,1,Easy,0,1,0,58.5,5,21.1,33.5,8.3,Weak
U1000,6,Graphs,Data Structures & Algorithms,32.0,47.1,3,Easy,4,2,2,43.7,7,27.0,52.7,26.2,Weak
U1466,7,Sorting,Data Structures & Algorithms,38.9,47.9,2,Easy,6,4,2,58.1,8,40.1,45.9,45.1,Weak
U1522,14,DBMS Indexes,Database Management Systems,25.0,66.7,4,Medium,4,1,2,49.6,9,30.1,48.8,12.1,Weak
U1545,2,Linked Lists,Data Structures & Algorithms,33.0,45.0,1,Easy,2,0,0,28.1,6,37.9,56.6,33.0,Weak
U1232,27,Polymorphism,Object Oriented Programming,15.2,67.7,5,Hard,2,0,1,48.8,4,29.0,35.4,40.7,Weak
U1308,12,Normalization,Database Management Systems,32.4,65.4,3,Medium,6,3,2,53.3,7,28.7,42.9,15.7,Weak
U1016,7,Sorting,Data Structures & Algorithms,54.6,60.8,4,Easy,3,1,1,53.7,5,38.3,55.3,37.6,Weak
U1380,21,TCP/IP,Computer Networks,17.2,93.3,4,Medium,1,0,1,26.4,8,16.7,29.8,23.1,Weak
U1295,6,Graphs,Data Structures & Algorithms,46.9,69.1,2,Medium,4,3,1,63.5,11,37.3,68.7,31.8,Weak
U1074,11,SQL,Database Management Systems,50.2,34.8,3,Easy,5,3,2,66.4,7,46.3,49.5,41.6,Moderate
U1095,24,Classes,Object Oriented Programming,61.8,37.4,3,Easy,3,2,1,41.7,4,61.0,70.1,61.8,Moderate
U1023,1,Arrays,Data Structures & Algorithms,22.8,47.9,1,Medium,2,1,3,24.5,5,21.1,49.0,12.5,Weak
U1350,19,Memory Management,Operating Systems,14.8,77.6,5,Hard,3,0,1,32.3,7,28.7,50.2,20.6,Weak
U1585,5,Trees,Data Structures & Algorithms,15.5,52.7,3,Easy,2,3,2,32.7,5,16.4,29.5,2.0,Weak
U1351,6,Graphs,Data Structures & Algorithms,33.6,56.5,1,Hard,3,1,3,53.1,6,40.4,65.4,36.0,Weak
U1179,3,Stacks,Data Structures & Algorithms,2.0,84.2,4,Hard,2,0,3,33.1,3,8.1,28.4,2.0,Weak
U1481,20,OSI Model,Computer Networks,59.4,39.7,3,Easy,3,3,2,37.5,8,60.5,80.3,49.8,Moderate
U1386,15,Processes,Operating Systems,2.0,87.3,4,Hard,2,0,3,28.7,6,2.8,32.4,2.0,Weak
U1405,17,Scheduling,Operating Systems,89.2,38.6,1,Medium,3,2,0,73.0,7,81.9,86.1,78.9,Strong
U1165,13,Transactions,Database Management Systems,56.5,47.3,2,Medium,3,1,2,55.5,5,65.9,52.4,63.3,Moderate
U1275,5,Trees,Data Structures & Algorithms,36.1,59.1,4,Easy,0,0,3,30.8,3,35.4,49.4,42.3,Weak
U1282,12,Normalization,Database Management Systems,49.3,44.2,1,Easy,1,4,2,45.7,7,49.7,45.1,47.6,Moderate
U1264,26,Inheritance,Object Oriented Programming,58.6,62.2,1,Medium,1,0,0,30.0,4,71.0,69.7,74.2,Moderate
U1450,18,Deadlocks,Operating Systems,61.0,41.5,3,Medium,0,4,1,43.4,1,60.1,58.7,51.2,Moderate
U1319,16,Threads,Operating Systems,39.2,39.4,2,Easy,1,1,1,38.4,3,51.4,62.3,52.6,Moderate
U1028,25,Objects,Object Oriented Programming,52.1,39.0,4,Easy,1,2,4,76.7,3,49.3,69.7,54.7,Moderate
U1105,1,Arrays,Data Structures & Algorithms,27.5,68.9,5,Medium,2,2,2,17.0,8,31.1,48.9,33.9,Weak
U1370,1,Arrays,Data Structures & Algorithms,24.5,56.3,1,Easy,3,4,3,61.1,5,21.3,51.9,34.3,Weak
U1515,14,DBMS Indexes,Database Management Systems,27.1,55.3,1,Medium,2,5,2,43.2,5,27.3,63.6,22.2,Weak
U1559,20,OSI Model,Computer Networks,77.1,27.9,1,Easy,1,2,0,36.3,5,79.9,94.1,77.1,Strong
U1034,5,Trees,Data Structures & Algorithms,42.7,61.0,5,Medium,2,1,2,41.1,7,56.5,66.8,42.5,Weak
U1584,26,Inheritance,Object Oriented Programming,21.2,64.8,2,Medium,0,1,3,51.9,7,34.9,23.5,33.1,Weak
U1214,9,Recursion,Data Structures & Algorithms,53.6,47.0,4,Easy,3,2,0,22.7,4,51.3,65.8,52.1,Moderate
U1428,2,Linked Lists,Data Structures & Algorithms,34.4,38.1,1,Easy,3,3,3,49.6,4,31.5,54.2,12.1,Weak
